PLAYER,1-19,20-29,30-39,40-49,50+,XPM,XPA
Tyler Bass K  BUF,0.267,10.7,8.7,7.7,3.24,53,55
Justin Tucker K  BAL,0.261,7.3,8.7,11.1,4.89,43,44
Matt Gay K  LAR,0.241,6.6,11.5,9,3.2,45,46
Rodrigo Blankenship K  IND,0.257,9.1,10.2,10.9,1.29,42,46
Evan McPherson K  CIN,0.255,7,11.4,7.3,5.4,44,46
Harrison Butker K  KC,0.279,6.5,11.3,6.8,5.1,46,49
Daniel Carlson K  LV,0.267,10.5,9.6,9.1,4.17,33,35
Greg Joseph K  MIN,0.254,7.7,10.7,7.3,5.4,40,44
Ryan Succop K  TB,0.232,9.3,9.6,7.8,1.16,47,50
Matt Prater K  ARI,0.229,9.2,7.7,6.6,4.87,43,45
Dustin Hopkins K  LAC,0.457,7.8,7.9,10.3,2.1,43,47
Jake Elliott K  PHI,0.22,6.4,9.5,8.9,2.77,45,46
Brett Maher K  DAL,0.253,9.2,12,7.3,1.27,39,44
Younghoe Koo K  ATL,0.234,8.4,9.8,6.8,4.35,39,40
Robbie Gould K  SF,0.214,7.3,7,9.1,4.19,43,44
Mason Crosby K  GB,0.299,7.6,9.8,5.9,2.99,44,46
Randy Bullock K  TEN,0.219,6,10.4,8.5,1.35,43,45
Jason Sanders K  MIA,0.217,7,7.8,8.9,3.28,43,44
Brandon McManus K  DEN,0.22,6.9,7.2,8.5,4.68,40,41
Nick Folk K  NE,0.234,7.4,8.5,9.7,3.62,35,39
Chris Boswell K  PIT,0.236,7.9,7.7,9.3,5,31,33
Wil Lutz K  NO,0.393,7.1,7.1,8.9,1.77,42,42
Cairo Santos K  CHI,0.218,8.7,7.1,9.3,1.09,35,36
Zane Gonzalez K  CAR,0.197,7.7,6.4,8.4,3.18,34,36
Graham Gano K  NYG,0.217,6,10.3,6.2,4.61,31,32
Austin Seibert K  DET,0.198,5.4,9.4,8.4,1.83,33,36
Joey Slye K  WAS,0.207,8.3,6.7,6.1,4.4,28,32
James McCourt K  JAC,0.242,6.8,7.7,6.8,2.66,31,35
Cade York K  CLE,0.207,5.8,6.6,5.8,2.28,36,40
Greg Zuerlein K  NYJ,0.181,4.97,8.6,5.6,2.5,29,33
Ka'imi Fairbairn K  HOU,0.169,5.8,7.3,4.87,3.6,26,30
Jason Myers K  SEA,0.145,3.99,6.9,4.53,2.8,29,31
