PLAYER,PASSYDS,PASSTD,INT,RUSHYDS,RUSHTD,FL
Josh Allen QB  BUF,4568,36,18,759,6,3
Patrick Mahomes QB  KC,4865,35,14,405,3,3
Justin Herbert QB  LAC,4882,34,16,318,3,1
Lamar Jackson QB  BAL,3995,26,17,1159,4,4
Jalen Hurts QB  PHI,3614,26,14,847,9,2
Tom Brady QB  TB,4955,35,14,59,2,3
Matthew Stafford QB  LAR,4851,34,18,82,2,2
Kyler Murray QB  ARI,4242,28,15,470,5,1
Aaron Rodgers QB  GB,4174,33,8,125,2,1
Russell Wilson QB  DEN,4269,29,10,289,2,2
Kirk Cousins QB  MIN,4422,33,13,112,1,3
Dak Prescott QB  DAL,4513,31,14,197,2,6
Joe Burrow QB  CIN,4506,30,16,151,2,1
Trey Lance QB  SF,3582,24,16,686,5,4
Derek Carr QB  LV,4977,27,18,118,1,5
Trevor Lawrence QB  JAC,4241,24,14,328,2,4
Ryan Tannehill QB  TEN,3717,27,17,286,4,3
Jameis Winston QB  NO,3363,28,11,304,2,3
Matt Ryan QB  IND,3716,29,12,164,2,5
Tua Tagovailoa QB  MIA,4037,24,17,180,3,1
Justin Fields QB  CHI,3482,21,21,530,3,7
Jared Goff QB  DET,3800,25,14,97,1,6
Daniel Jones QB  NYG,3424,19,18,473,3,6
Carson Wentz QB  WAS,3500,22,14,209,1,6
Marcus Mariota QB  ATL,3588,21,19,236,1,0
Mac Jones QB  NE,3695,24,20,140,0,3
Zach Wilson QB  NYJ,3357,20,16,247,2,1
Baker Mayfield QB  CAR,3671,21,17,119,1,3
Davis Mills QB  HOU,3542,21,19,67,0,1
Jacoby Brissett QB  CLE,2460,16,10,135,2,4
Mitchell Trubisky QB  PIT,2420,16,11,64,1,1
Deshaun Watson QB  CLE,1613,10,4,220,3,1
Drew Lock QB  SEA,1743,11,10,111,1,2
Kenny Pickett QB  PIT,1647,11,8,37,0,1
Geno Smith QB  SEA,1150,8,7,62,1,1
Joe Flacco QB  NYJ,378,2,1,17,0,1
Case Keenum QB  BUF,191,2,1,11,0,0
Jordan Love QB  GB,127,1,0,20,0,0
Josh Johnson QB  DEN,174,1,0,20,0,0
Andy Dalton QB  NO,137,1,0,18,0,0
Joshua Dobbs QB  CLE,113,1,0,23,0,0
Kellen Mond QB  MIN,106,1,0,4,0,0
Kyle Trask QB  TB,136,1,0,3,0,0
Taylor Heinicke QB  WAS,143,1,1,19,0,0
Sean Mannion QB  MIN,151,1,1,20,0,0
Tyler Huntley QB  BAL,163,1,1,29,0,0
Nick Foles QB  IND,150,1,1,26,0,0
Gardner Minshew QB  PHI,148,1,1,26,0,0
Teddy Bridgewater QB  MIA,212,1,1,7,0,0
Tim Boyle QB  DET,139,1,1,19,0,0
Jimmy Garoppolo QB  SF,151,1,1,23,0,0
Tyrod Taylor QB  NYG,180,1,1,19,0,0
John Wolford QB  LAR,174,1,1,17,0,0
Brian Hoyer QB  NE,151,1,1,4,0,0
Chase Daniel QB  LAC,186,1,1,12,0,0
Nathan Peterman QB  CHI,90,1,1,18,0,0
Chad Henne QB  KC,182,1,1,7,0,0
Brandon Allen QB  CIN,182,1,1,16,0,0
Malik Willis QB  TEN,113,1,1,5,0,0
Mike White QB  NYJ,146,1,1,3,0,0
Colt McCoy QB  ARI,173,1,1,14,0,0
Trevor Siemian QB  CHI,139,1,1,14,0,0
Desmond Ridder QB  ATL,110,1,1,4,0,0
C.J. Beathard QB  JAC,154,1,0,16,0,1
Cooper Rush QB  DAL,157,1,1,4,0,0
Mason Rudolph QB  PIT,154,1,1,15,0,0
Jarrett Stidham QB  LV,201,1,1,7,0,0
Kyle Allen QB  HOU,145,1,1,7,0,1
