PLAYER,RECYDS,RECTD,FL
Travis Kelce TE  KC,1433,11,1
Mark Andrews TE  BAL,1254,10,1
Kyle Pitts TE  ATL,1148,4,1
Darren Waller TE  LV,1040,4,1
George Kittle TE  SF,965,5,1
Dallas Goedert TE  PHI,894,6,1
Dalton Schultz TE  DAL,784,7,1
Zach Ertz TE  ARI,716,6,1
Mike Gesicki TE  MIA,834,4,1
T.J. Hockenson TE  DET,664,6,1
Dawson Knox TE  BUF,528,7,0
Pat Freiermuth TE  PIT,559,7,1
Cole Kmet TE  CHI,707,4,1
Irv Smith TE  MIN,564,6,1
Austin Hooper TE  TEN,561,6,1
Hunter Henry TE  NE,534,6,0
Gerald Everett TE  LAC,652,5,2
David Njoku TE  CLE,597,5,0
Evan Engram TE  JAC,586,5,1
Tyler Higbee TE  LAR,651,4,1
Isaiah Likely TE  BAL,538,5,1
Logan Thomas TE  WAS,476,6,1
Noah Fant TE  SEA,586,4,1
Albert Okwuegbunam TE  DEN,514,5,2
Robert Tonyan TE  GB,468,5,0
Foster Moreau TE  LV,444,5,0
Kyle Rudolph TE  TB,470,4,0
Hayden Hurst TE  CIN,414,5,1
Harrison Bryant TE  CLE,373,5,1
Taysom Hill TE  NO,297,3,1
Brevin Jordan TE  HOU,374,4,0
Cameron Brate TE  TB,373,4,0
Mo Alie-Cox TE  IND,368,4,0
C.J. Uzomah TE  NYJ,440,3,0
Jelani Woods TE  IND,378,4,1
Jonnu Smith TE  NE,376,3,0
Tyler Conklin TE  NYJ,450,2,0
Daniel Bellinger TE  NYG,388,3,1
Trey McBride TE  ARI,359,3,1
Geoff Swaim TE  TEN,298,4,0
Maxx Williams TE  ARI,404,2,0
John Bates TE  WAS,395,2,0
Cade Otton TE  TB,347,3,1
Adam Trautman TE  NO,351,3,1
James O'Shaughnessy TE  CHI,346,2,0
Tommy Tremble TE  CAR,241,2,0
Paul Quessenberry FB  HOU,332,2,1
Anthony Firkser TE  ATL,336,2,1
Brock Wright TE  DET,252,3,0
Donald Parham TE  LAC,233,3,0
O.J. Howard TE  BUF,275,2,0
Marcedes Lewis TE  GB,251,2,1
Dan Arnold TE  JAC,314,1,1
Will Dissly TE  SEA,258,1,0
Ryan Griffin TE  CHI,195,2,0
Durham Smythe TE  MIA,270,1,0
Pharaoh Brown TE  HOU,251,1,1
Ian Thomas TE  CAR,219,1,0
Chris Manhertz TE  JAC,136,2,0
MyCole Pruitt TE  ATL,119,2,0
Tyler Kroft TE  SF,174,1,0
Juwan Johnson TE  NO,104,2,0
Brycen Hopkins TE  LAR,139,1,0
Blake Bell TE  KC,136,1,0
Ko Kieft TE  TB,139,1,0
Matt Bushman TE  KC,136,1,0
Jacob Harris TE  LAR,133,1,0
Nick Eubanks TE  CIN,125,1,0
Jody Fortson TE  KC,123,1,0
Nick Muse TE  MIN,122,1,0
Kenny Yeboah TE  NYJ,119,1,0
Greg Dulcich TE  DEN,120,1,0
Nick Boyle TE  BAL,125,1,0
Devin Asiasi TE  NE,135,1,0
Stephen Anderson TE  ARI,125,1,0
Jake Ferguson TE  DAL,127,1,0
Zach Gentry TE  PIT,109,1,0
Jeremy Ruckert TE  NYJ,101,1,0
Drew Sample TE  CIN,104,1,0
John FitzPatrick TE  ATL,101,1,0
Chigoziem Okonkwo TE  TEN,104,1,0
Noah Gray TE  KC,113,1,0
Cole Turner TE  WAS,98,1,0
Nakia Griffin-Stewart TE  CLE,111,1,0
Charlie Kolar TE  BAL,112,1,0
Tre' McKitty TE  LAC,115,1,0
Kylen Granson TE  IND,102,1,0
Mason Schreck TE  HOU,92,1,0
Ben Ellefson TE  MIN,85,1,0
Hunter Long TE  MIA,111,1,0
Tommy Hudson TE  TEN,106,1,0
Kendall Blanton TE  WAS,98,1,0
Nick Vannett TE  NO,114,1,0
Grant Calcaterra TE  PHI,102,1,0
Tommy Sweeney TE  BUF,109,1,0
James Mitchell TE  DET,106,1,0
Luke Farrell TE  JAC,106,1,0
Kevin Rader TE  PIT,94,1,0
Matt Sokol TE  NE,104,1,0
Johnny Mundt TE  MIN,94,1,0
