RANK,PLAYER,PASSYDS,PASSTD,INT,RUSHYDS,RUSHTD,RECYDS,RECTD
1,"Jonathan Taylor
IndRB",0,0,0,1493,13,351,2
2,"Christian McCaffrey
CarRB",0,0,0,920,8,679,2
3,"Cooper Kupp
LARWR",0,0,0,25,0,1349,10
4,"Austin Ekeler
LACRB",0,0,0,897,8,611,3
5,"Justin Jefferson
MinWR",19,0,0,24,0,1367,8
6,"Ja'Marr Chase
CinWR",0,0,0,83,1,1247,9
7,"Derrick Henry
TenRB",0,0,0,1464,11,218,1
8,"Najee Harris
PitRB",0,0,0,1133,7,391,2
9,"Alvin Kamara
NORB",0,0,0,846,7,550,4
10,"Dalvin Cook
MinRB",0,0,0,1142,10,359,1
11,"Davante Adams
LVWR",0,0,0,0,0,1157,7
12,"Deebo Samuel
SFWR",0,0,0,372,4,985,5
13,"Stefon Diggs
BufWR",0,0,0,0,0,1145,8
14,"Joe Mixon
CinRB",0,0,0,1139,10,278,2
15,"D'Andre Swift
DetRB",0,0,0,840,7,501,3
16,"CeeDee LambQ
DalWR",0,0,0,59,0,1141,7
17,"Tyreek Hill
MiaWR",0,0,0,59,0,1087,7
18,"Leonard Fournette
TBRB",0,0,0,926,9,391,2
19,"Mark Andrews
BalTE",0,0,0,0,0,1010,8
20,"Javonte Williams
DenRB",0,0,0,972,7,359,2
21,"Travis Kelce
KCTE",0,0,0,7,0,972,7
22,"James Conner
AriRB",0,0,0,902,11,337,2
23,"Aaron Jones
GBRB",0,0,0,818,5,503,3
24,"Keenan Allen
LACWR",0,0,0,0,0,1028,7
25,"Tee HigginsQ
CinWR",0,0,0,0,0,1080,8
26,"Mike Evans
TBWR",0,0,0,0,0,1016,8
27,"DJ Moore
CarWR",0,0,0,54,0,1163,5
28,"Cam AkersQ
LARRB",0,0,0,1068,8,280,2
29,"Saquon Barkley
NYGRB",0,0,0,903,6,420,2
30,"Michael Pittman Jr.
IndWR",0,0,0,29,0,1084,6
31,"A.J. Brown
PhiWR",0,0,0,0,0,1058,7
32,"Terry McLaurin
WshWR",0,0,0,0,0,1073,6
33,"Nick Chubb
CleRB",0,0,0,1182,7,224,1
34,"Diontae Johnson
PitWR",0,0,0,26,0,1066,4
35,"Jaylen WaddleQ
MiaWR",0,0,0,48,0,910,6
36,"Mike Williams
LACWR",0,0,0,0,0,955,9
37,"Brandin Cooks
HouWR",0,0,0,24,0,1031,4
38,"Kyle Pitts
AtlTE",0,0,0,0,0,960,4
39,"David MontgomeryQ
ChiRB",0,0,0,883,7,332,2
40,"J.K. DobbinsQ
BalRB",0,0,0,948,9,250,1
41,"Breece Hall
NYJRB",0,0,0,1060,6,256,1
42,"Ezekiel Elliott
DalRB",0,0,0,870,8,287,2
43,"Josh Allen
BufQB",4094,33,13,678,7,0,0
44,"Marquise Brown
AriWR",0,0,0,0,0,1029,6
45,"DK Metcalf
SeaWR",0,0,0,0,0,1075,5
46,"Jerry Jeudy
DenWR",0,0,0,24,0,1048,6
47,"Courtland Sutton
DenWR",0,0,0,0,0,964,8
48,"Travis Etienne Jr.
JaxRB",0,0,0,704,4,421,2
49,"Amon-Ra St. Brown
DetWR",0,0,0,79,1,875,5
50,"Darnell Mooney
ChiWR",0,0,0,25,0,1084,4
51,"Gabriel Davis
BufWR",0,0,0,0,0,917,9
52,"Chris GodwinQ
TBWR",0,0,0,24,0,884,6
53,"Patrick Mahomes
KCQB",4610,36,12,358,3,0,0
54,"Justin Herbert
LACQB",4259,34,12,270,3,0,0
55,"Josh Jacobs
LVRB",0,0,0,884,9,265,1
56,"Antonio Gibson
WshRB",0,0,0,797,7,212,1
57,"Elijah MitchellQ
SFRB",0,0,0,1038,7,181,1
58,"Miles SandersQ
PhiRB",0,0,0,1079,5,230,1
59,"Devin Singletary
BufRB",0,0,0,912,7,206,1
60,"Darren WallerQ
LVTE",0,0,0,0,0,882,5
61,"George Kittle
SFTE",0,0,0,12,0,820,5
62,"Lamar Jackson
BalQB",3412,23,14,924,4,0,0
63,"Kyler Murray
AriQB",4112,25,13,491,5,0,0
64,"Amari Cooper
CleWR",0,0,0,0,0,890,5
65,"Michael ThomasQ
NOWR",0,0,0,0,0,815,5
66,"Allen Robinson II
LARWR",0,0,0,0,0,920,6
67,"Hunter Renfrow
LVWR",0,0,0,23,0,805,6
68,"JuJu Smith-SchusterQ
KCWR",0,0,0,0,0,836,7
69,"Adam Thielen
MinWR",0,0,0,0,0,797,7
70,"Rashod Bateman
BalWR",0,0,0,0,0,932,5
71,"Drake LondonQ
AtlWR",0,0,0,0,0,930,4
72,"Tyler Lockett
SeaWR",0,0,0,11,0,941,4
73,"DeVonta Smith
PhiWR",0,0,0,0,0,872,7
74,"Elijah Moore
NYJWR",0,0,0,38,0,932,5
75,"Kadarius ToneyQ
NYGWR",0,0,0,23,0,865,4
76,"Jalen Hurts
PhiQB",3294,23,11,721,9,0,0
77,"Dalton Schultz
DalTE",0,0,0,0,0,713,5
78,"T.J. Hockenson
DetTE",0,0,0,0,0,701,5
79,"Clyde Edwards-Helaire
KCRB",0,0,0,771,6,283,2
80,"Kareem Hunt
CleRB",0,0,0,554,4,405,2
81,"Rhamondre Stevenson
NERB",0,0,0,650,6,305,2
82,"Damien HarrisQ
NERB",0,0,0,815,10,124,1
83,"Cordarrelle Patterson
AtlRB",0,0,0,545,3,395,2
84,"Tony Pollard
DalRB",0,0,0,762,4,269,1
85,"Chase Edmonds
MiaRB",0,0,0,548,3,334,2
86,"AJ Dillon
GBRB",0,0,0,746,5,243,1
87,"Dallas Goedert
PhiTE",0,0,0,0,0,688,4
88,"Zach ErtzQ
AriTE",0,0,0,0,0,620,5
