RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
1,1,Jonathan Taylor,IND,333.1,0,0,40,360,2,332,1811,18
2,1,Christian McCaffrey,CAR,90.5,0,0,37,343,1,99,442,1
3,1,Derrick Henry,TEN,175.3,0,0,18,154,0,219,937,10
4,1,Dalvin Cook,MIN,172.3,0,0,34,224,0,249,1159,6
5,1,Austin Ekeler,LAC,273.8,0,0,70,647,8,206,911,12
6,2,Joe Mixon,CIN,245.9,0,0,42,314,3,292,1205,13
7,2,Najee Harris,PIT,226.7,0,0,74,467,3,307,1200,7
8,2,Justin Jefferson,MIN,222.4,0,0,108,1616,10,6,14,0
9,2,Nick Chubb,CLE,195.3,0,0,20,174,1,228,1259,8
10,2,Cooper Kupp,LAR,294.5,0,0,145,1947,16,4,18,0
11,2,Ja'Marr Chase,CIN,223.6,0,0,81,1455,13,7,21,0
12,3,Mark Andrews,BAL,194.1,0,0,107,1361,9,1,0,0
13,3,Alvin Kamara,NO,187.7,0,0,47,439,5,240,898,4
14,3,Saquon Barkley,NYG,107.6,0,0,41,263,2,162,593,2
15,3,D'Andre Swift,DET,146.9,0,0,62,452,2,151,617,5
16,3,Travis Kelce,KC,170.8,0,0,92,1125,9,2,3,1
17,3,Stefon Diggs,BUF,182.5,0,0,103,1225,10,0,0,0
18,3,Davante Adams,LV,221.3,0,0,123,1553,11,0,0,0
19,3,Deebo Samuel,SF,261.96,0,0,77,1405,6,59,365,8
20,3,Aaron Jones,GB,177,0,0,52,391,6,171,799,4
21,3,CeeDee Lamb,DAL,153.8,0,0,79,1102,6,9,76,0
22,3,Javonte Williams,DEN,161.9,0,0,43,316,3,203,903,4
23,3,Leonard Fournette,TB,186.6,0,0,69,454,2,180,812,8
24,4,Mike Evans,TB,188.5,0,0,74,1035,14,1,10,0
25,4,Tyreek Hill,MIA,185.5,0,0,111,1239,9,9,96,0
